"Channel 1_x","Channel 1_y"
7.902883053,28,
7.915164948,29,
7.923397064,29,
7.935663939,29,
7.948269129,29,
7.956154108,29,
7.96686101,29,
7.976807833,29,
7.984822989,29,
7.997677088,29,
8.005326033,29,
8.017594099,29,
8.030441999,29,
8.038100004,29,
8.050321817,28,
8.058695793,29,
8.070866823,29,
8.082119942,29,
8.091429949,29,
8.100345135,29,
8.112066031,29,
8.124158859,29,
8.132966995,29,
8.144670963,29,
8.152785778,29,
8.165025949,29,
8.173262119,29,
8.185497046,29,
8.197871923,29,
8.205997944,29,
8.218292952,29,
8.231099844,29,
8.23881793,28,
8.249716043,29,
8.259382963,29,
8.267544985,29,
8.279700041,29,
8.287966967,29,
8.300181866,29,
8.308542967,29,
8.320720911,28,
8.332921982,29,
8.341318846,28,
8.353403807,29,
8.364911079,29,
8.37412715,29,
8.383400917,29,
8.394526958,28,
8.402607918,28,
8.414956093,29,
8.427322149,28,
8.435501099,29,
8.448366165,29,
8.455849886,29,
8.468124866,29,
8.48105073,28,
8.488634825,29,
8.499812841,29,
8.5092659,29,
8.521389961,29,
8.532677174,29,
8.541967869,29,
8.550477982,29,
8.562310934,28,
8.57058692,29,
8.582808971,29,
8.591263056,29,
8.603300095,29,
8.614910841,29,
8.623987913,29,
8.63606286,29,
8.648400784,29,
8.656518936,29,
8.667528868,29,
8.680320978,29,
8.686733961,29,
8.698340893,29,
8.705734968,29,
8.717986107,28,
8.730959177,29,
8.738529921,29,
8.750714064,28,
8.75908494,28,
8.771273851,29,
8.782620907,29,
8.791810989,29,
8.80034399,29,
8.812168837,29,
8.824595928,28,
8.832729101,29,
8.845007896,29,
8.85311985,29,
8.86540699,29,
8.87383914,29,
8.885896921,28,
8.898237944,29,
8.906384945,29,
8.918661118,29,
8.931588173,28,
8.939162016,29,
8.950114012,29,
8.959759951,29,
8.967867851,29,
8.980864048,29,
8.988373995,29,
9.000597954,29,
9.008965969,29,
9.021121979,29,
9.033321857,29,
9.041697979,29,
9.053810835,28,
9.06508112,29,
9.074451923,29,
9.084023952,29,
9.094874859,29,
9.103014946,29,
9.115343809,29,
9.127629042,28,
9.135781765,28,
9.148021936,29,
9.156275988,29,
9.168509007,29,
9.18153286,29,
9.189012051,29,
9.200139046,29,
9.209745884,28,
9.221785069,28,
9.233167887,29,
9.242357969,29,
9.250422001,29,
9.262663841,29,
9.270935059,29,
9.283189058,28,
9.291583061,28,
9.303697824,28,
9.314837933,29,
9.324376106,29,
9.336417913,29,
9.348293781,29,
9.357068062,29,
9.366863728,29,
9.377530813,29,
9.385619879,29,
9.398266077,29,
9.406086922,29,
9.418351173,29,
9.431239843,29,
9.438874006,29,
9.451108932,28,
9.463840961,29,
9.471601963,29,
9.48286581,29,
9.492228985,29,
9.500655174,29,
9.512532949,29,
9.524991989,29,
9.535122871,29,
9.545387983,29,
9.559895992,28,
9.575414896,29,
9.590917826,29,
9.604794741,29,
9.612513065,29,
9.625650883,29,
9.646156073,29,
9.654471874,29,
9.668629885,28,
9.701858044,29,
9.723655939,29,
9.741488934,29,
9.762918949,29,
9.786674976,29,
9.800369978,29,
9.810481787,29,
9.825742006,29,
9.843390942,29,
9.852660894,29,
9.866204977,29,
9.878005028,29,
9.886132002,29,
9.899355888,29,
9.905866861,29,
9.917006016,29,
9.923793793,28,
9.934092045,29,
9.943711996,29,
9.950433016,29,
9.956133842,29,
9.96665597,29,
9.974349022,28,
9.983253956,29,
9.989017963,28,
9.999833107,29,
10.00741816,29,
10.01641798,29,
10.02193785,29,
10.0330801,29,
10.04046702,28,
10.04989791,29,
10.05543399,29,
10.06638598,29,
10.07409,29,
10.08308196,29,
10.08879304,29,
10.09986496,29,
10.10815096,28,
10.11644697,29,
10.12225199,28,
10.13315988,29,
10.14097309,29,
10.15018487,29,
10.15607405,29,
10.16663384,29,
10.17704797,28,
10.18400407,29,
10.19046974,29,
10.20005989,29,
10.20560193,29,
10.21656394,29,
10.22423291,29,
10.23336697,29,
10.23928809,29,
10.24998975,29,
10.257406,29,
10.26630187,29,
10.27198887,29,
10.28386497,29,
10.29176283,29,
10.30068612,29,
10.30632186,29,
10.31700206,29,
10.32365894,29,
10.33417296,29,
10.34371185,29,
10.3506,29,
10.36047792,29,
10.368608,28,
10.38122797,28,
10.38907599,29,
10.40131688,28,
10.41426682,29,
10.42186999,29,
10.43412399,29,
10.447438,29,
10.45460987,28,
10.46610999,29,
10.47519207,29,
10.48449898,29,
10.49746394,29,
10.50377083,29,
10.5160439,29,
10.52448106,29,
10.53652978,29,
10.54878497,29,
10.55718708,29,
10.56927896,29,
10.58157682,29,
10.58977985,29,
10.60042596,29,
10.61055994,29,
10.61854577,28,
10.63156104,29,
10.6431098,29,
10.6512661,29,
10.66426706,29,
10.67170405,29,
10.68396497,29,
10.69237304,29,
10.70446301,28,
10.71587396,29,
10.72513509,29,
10.73720288,29,
10.74858093,29,
10.75789094,29,
10.767277,29,
10.77821684,29,
10.78643203,29,
10.79864097,29,
10.8070879,29,
10.8191359,28,
10.832026,29,
10.83982587,29,
10.85190701,29,
10.86477685,29,
10.87244105,28,
10.88313198,29,
10.89299512,29,
10.90105605,29,
10.91370177,29,
10.92155004,29,
10.93382907,29,
10.94610786,29,
10.95433497,29,
10.96656203,29,
10.97492981,28,
10.98706675,29,
10.99840999,29,
11.00774908,29,
11.01696396,28,
11.02811909,29,
11.04046392,29,
11.05018497,29,
11.06079888,29,
11.06902504,29,
11.08121896,29,
11.08966398,29,
11.10174584,29,
11.11461878,29,
11.12220907,29,
11.1334908,29,
11.14285493,29,
11.15501595,29,
11.16631913,29,
11.17568898,29,
11.1841228,29,
11.19594693,29,
11.20426297,29,
11.21647787,29,
11.22491503,29,
11.23694682,29,
11.24919915,29,
11.25762105,29,
11.26963782,29,
11.28158212,28,
11.29036689,29,
11.30008078,28,
11.31076884,29,
11.31883597,29,
11.33139396,29,
11.3434999,29,
11.35163188,29,
11.36464691,28,
11.37209487,29,
11.38434887,29,
11.39807415,29,
11.404845,29,
11.41663885,29,
11.42544413,29,
11.43365884,29,
11.44579887,28,
11.45821595,29,
11.46693397,29,
11.47850585,29,
11.48683,29,
11.49923611,29,
11.50746012,29,
11.51956391,29,
11.53127384,28,
11.5402329,29,
11.55226111,29,
11.56486988,29,
11.57271981,29,
11.58358407,29,
11.59349704,29,
11.6014688,29,
11.61484909,29,
11.62192988,29,
11.63422108,29,
11.64652205,29,
11.65472794,29,
11.66695809,29,
11.67536473,29,
11.68746185,29,
11.69888902,29,
11.70807695,29,
11.71696901,29,
11.72844911,29,
11.7366221,29,
11.7488718,29,
11.76132894,29,
11.76937294,29,
11.7817409,29,
11.78993583,29,
11.802145,29,
11.81473517,29,
11.82262492,29,
11.83380604,29,
11.84473395,28,
11.85537982,29,
11.86686802,29,
11.87598896,29,
11.88406992,29,
11.89634395,29,
11.90458703,29,
11.91683412,29,
11.92526197,28,
11.93734813,29,
11.94955587,29,
11.9580009,29,
11.9700532,29,
11.98173499,29,
11.99069905,29,
12.00077105,29,
12.01115799,29,
12.01926899,28,
12.03170085,29,
12.03992486,29,
12.05200887,29,
12.06505179,29,
12.07255697,29,
12.08474493,29,
12.09762692,29,
12.10523701,28,
12.11628389,29,
12.12588286,29,
12.13395596,29,
12.14618397,29,
12.15864301,29,
12.16678596,29,
12.17894816,29,
12.18718314,28,
12.19942904,29,
12.207865,29,
12.21989799,29,
12.2316401,29,
12.24070692,29,
12.25265312,29,
12.26504183,29,
12.27311993,28,
12.28424191,28,
12.29727006,29,
12.30345488,29,
12.31514502,29,
12.32234693,29,
12.33458304,29,
12.34777594,29,
12.35515499,29,
12.36737585,29,
12.37776494,29,
12.38785982,29,
12.39929485,29,
12.4084909,28,
12.41719508,29,
12.42880893,29,
12.43710113,29,
12.44927192,29,
12.46163201,29,
12.46975493,29,
12.48202896,29,
12.49044299,29,
12.50253487,29,
12.51515603,28,
12.52321887,29,
12.53283501,29,
12.54352999,29,
12.55633402,29,
12.56720686,29,
12.57743001,29,
12.58485508,29,
12.59796286,28,
12.60495496,29,
12.61722589,29,
12.62559795,29,
12.6377511,29,
12.64904189,29,
12.65833998,29,
12.67043495,29,
12.6818161,29,
12.69091606,29,
12.69940782,29,
12.7114501,29,
12.72504592,29,
12.73348308,29,
12.74030304,29,
12.75236607,29,
12.76512003,28,
12.77309799,29,
12.7851429,29,
12.79809403,29,
12.80564499,29,
12.81658792,29,
12.82626295,29,
12.83432198,28,
12.84762597,28,
12.85896397,29,
12.86708593,29,
12.87930012,29,
12.88757992,29,
12.89979005,29,
12.9082129,29,
12.92035198,28,
12.93162894,29,
12.94096303,29,
12.95051098,29,
12.96139908,29,
12.97369003,29,
12.98327899,29,
12.99409413,29,
13.00223303,29,
13.01459789,29,
13.02273512,29,
13.03497696,29,
13.04800892,29,
13.0554719,29,
13.06774592,29,
13.08063102,29,
13.08825803,29,
13.09958196,28,
13.10883093,29,
13.11717081,29,
13.12940001,29,
13.13899589,29,
13.1502459,29,
13.1619451,29,
13.17015815,29,
13.18244195,29,
13.1908958,29,
13.20288396,29,
13.21581602,29,
13.22343707,29,
13.2338829,29,
13.24406195,29,
13.25207496,29,
13.264884,29,
13.27676105,29,
13.28484511,29,
13.29815984,29,
13.3053298,29,
13.31764197,29,
13.33185697,29,
13.34017205,29,
13.34983492,29,
13.35875988,29,
13.37082601,29,
13.38206697,29,
13.391433,29,
13.39990711,29,
13.41191602,29,
13.42006993,28,
13.43227601,29,
13.44078588,29,
13.45278907,29,
13.46504807,29,
13.47335076,29,
13.48554182,29,
13.49832082,29,
13.50598502,28,
13.51687694,29,
13.52676511,29,
13.53470206,29,
13.54790187,29,
13.55518007,29,
13.56747007,29,
13.57969403,29,
13.58800197,28,
13.60019207,29,
13.60858703,29,
13.62070489,29,
13.63215089,29,
13.64128518,29,
13.65020108,29,
13.66176414,29,
13.67414713,29,
13.68441296,29,
